"LIBRI","COMPUT HUM BEHAV","7"
"MARK INTELL PLAN","COMPUT HUM BEHAV","7"
"ONLINE LEARN","COMPUT HUM BEHAV","7"
"P 13 INT C INN MAN","COMPUT HUM BEHAV","7"
"P 18 INT C ENT INF","COMPUT HUM BEHAV","7"
"PERS RELATIONSHIP","COMPUT HUM BEHAV","7"
"PERS UBIQUIT COMPUT","COMPUT HUM BEHAV","7"
"RBGN-REV BRAS GEST N","COMPUT HUM BEHAV","7"
"REV IBEROAM DIAGN EV","COMPUT HUM BEHAV","7"
"SMALL GR RES","COMPUT HUM BEHAV","7"
"SOC NETW ANAL MIN","COMPUT HUM BEHAV","7"
"SPR PROC BUS ECON","COMPUT HUM BEHAV","7"
"SYSTEMS","COMPUT HUM BEHAV","7"
"TECHNOL KNOWL LEARN","COMPUT HUM BEHAV","7"
"TPM-TEST PSYCHOM MET","COMPUT HUM BEHAV","7"
"TURK ONLINE J DES AR","COMPUT HUM BEHAV","7"
"YOUNG CONSUM","COMPUT HUM BEHAV","7"
"2016 9 INT C INT","COMPUT HUM BEHAV","6"
"2016 IEEE 4 WORKSH","COMPUT HUM BEHAV","6"
"2016 INT C BUS MAN","COMPUT HUM BEHAV","6"
"ACCOUNT EDUC","COMPUT HUM BEHAV","6"
"AM BEHAV SCI","COMPUT HUM BEHAV","6"
"APPETITE","COMPUT HUM BEHAV","6"
"BEHAV PSYCHOL","COMPUT HUM BEHAV","6"
"CHILD STUD ASIA-PAC","COMPUT HUM BEHAV","6"
"CHRONOBIOL INT","COMPUT HUM BEHAV","6"
"COMPUT APPL ENG EDUC","COMPUT HUM BEHAV","6"
"COMPUT IND","COMPUT HUM BEHAV","6"
"CONTEMP EDUC PSYCHOL","COMPUT HUM BEHAV","6"
"CUAD TUR","COMPUT HUM BEHAV","6"
"DEV MKT SCI","COMPUT HUM BEHAV","6"
"DEVIANT BEHAV","COMPUT HUM BEHAV","6"
"DIGIT EDUC REV","COMPUT HUM BEHAV","6"
"ETHICS INF TECHNOL","COMPUT HUM BEHAV","6"
"EUR J CONTEMP EDUC","COMPUT HUM BEHAV","6"
"EUR J MARKETING","COMPUT HUM BEHAV","6"
"FRONT BEHAV NEUROSCI","COMPUT HUM BEHAV","6"
"FRONT HUM NEUROSCI","COMPUT HUM BEHAV","6"
"I-PERCEPTION","COMPUT HUM BEHAV","6"
"IEEE ACCESS","COMPUT HUM BEHAV","6"
"INF COMPUT SECUR","COMPUT HUM BEHAV","6"
"INF RESOUR MANAG J","COMPUT HUM BEHAV","6"
"INFORM ORGAN-UK","COMPUT HUM BEHAV","6"
"INFORM TECHNOL DEV","COMPUT HUM BEHAV","6"
"INT CONF COMP SCI ED","COMPUT HUM BEHAV","6"
"INT J HOSP TOUR ADM","COMPUT HUM BEHAV","6"
"INT J MARKET COMMUN","COMPUT HUM BEHAV","6"
"INT J MED RES HEALTH","COMPUT HUM BEHAV","6"
"INT J PRODUCT PERFOR","COMPUT HUM BEHAV","6"
"INT J SCI MATH EDUC","COMPUT HUM BEHAV","6"
"J ADOLESCENT HEALTH","COMPUT HUM BEHAV","6"
"J ADOLESCENT RES","COMPUT HUM BEHAV","6"
"J APPL RES HIGH EDUC","COMPUT HUM BEHAV","6"
"J BALT SCI EDUC","COMPUT HUM BEHAV","6"
"J COMMUN HEALTH","COMPUT HUM BEHAV","6"
"J EXP PSYCHOL GEN","COMPUT HUM BEHAV","6"
"J HOSP LEIS SPORT TO","COMPUT HUM BEHAV","6"
"J PUBLIC RELAT RES","COMPUT HUM BEHAV","6"
"J STRATEG MARK","COMPUT HUM BEHAV","6"
"J VACAT MARK","COMPUT HUM BEHAV","6"
"LECT N MANAG SCI","COMPUT HUM BEHAV","6"
"MANAG RES REV","COMPUT HUM BEHAV","6"
"OPEN LEARN","COMPUT HUM BEHAV","6"
"P 2016 SAI COMP C","COMPUT HUM BEHAV","6"
"P 3 IEEEACM INT C","COMPUT HUM BEHAV","6"
"P INT COMP SOFTW APP","COMPUT HUM BEHAV","6"
"PROC CIRP","COMPUT HUM BEHAV","6"
"PSICOTHEMA","COMPUT HUM BEHAV","6"
"QUAL LIFE RES","COMPUT HUM BEHAV","6"
"RAE-REV ADMIN EMPRES","COMPUT HUM BEHAV","6"
"RENEW SUST ENERG REV","COMPUT HUM BEHAV","6"
"RES LEARN TECHNOL","COMPUT HUM BEHAV","6"
"REV INFANC ADOLESC","COMPUT HUM BEHAV","6"
"S AFR J BUS MANAG","COMPUT HUM BEHAV","6"
"SOC NEUROSCI-UK","COMPUT HUM BEHAV","6"
"STRATEGICA","COMPUT HUM BEHAV","6"
"THINK SKILLS CREAT","COMPUT HUM BEHAV","6"
"TOUR MANAG PERSPECT","COMPUT HUM BEHAV","6"
"TRANSFORM GOV-PEOPLE","COMPUT HUM BEHAV","6"
"TURK PSIKOL DERG","COMPUT HUM BEHAV","6"
"WHATS AH SERV RES","COMPUT HUM BEHAV","6"
"2016 IEEE INT C MAN","COMPUT HUM BEHAV","5"
"2016 INT C BUS EC","COMPUT HUM BEHAV","5"
"2016 UKS 18 INT C","COMPUT HUM BEHAV","5"
"3 INT C ED SOC","COMPUT HUM BEHAV","5"
"ACCIDENT ANAL PREV","COMPUT HUM BEHAV","5"
"ACM T INTERACT INTEL","COMPUT HUM BEHAV","5"
